anio,hombres,mujeres
"1997","328","251"
"1998","369","292"
"1999","318","281"
"2000","316","305"
"2001","313","326"
"2002","337","287"
"2003","354","324"
"2004","335","305"
"2005","382","294"
"2006","357","332"
"2007","362","274"
"2008","387","311"
"2009","372","329"
"2010","349","335"
"2011","391","327"
"2012","376","335"
"2013","323","286"
"2014","336","332"
"2015","320","274"
"2016","351","319"
"2017","268","218"
