barrio,hombres,mujeres
"ANGELES (LOS)-APOLONIA","2844","2213"
"CORAZON DE MARIA","239","217"
"PARROQUIAS ALTAS","779","691"
"SAN ANTONIO","300","273"
"SAN CRISTOBAL","7739","6858"
"SAN JOSE","6460","6510"
"SAN MATEO","4964","4999"
"SANTA QUITERIA","385","364"
"SANTIAGO","2727","2841"
"SUTULLENA","2077","2125"
"VIÑA (LA)","2180","2137"
"VIRGEN DE LAS HUERTAS","562","555"
