idtrafico,nombreincidencia,detalleincidencia,fechainicio,fechafin,calle,longitud,latitud,url
"18963","Calle cortada","CARGA-DESCARGA MATERIAL DE OBRA, PARA RECONSTRUCCIÓN DE INMUEBLE POR DAÑOS SEISMOS, DE LUNES A VIERNES LABORABLES DE 9:15 A 13 HORAS Y DE 15 A 19 HORAS, EXCEPTO SEMANA SANTA, EMPRESA RESPONSABLE SEÑALIZA SEGÚN NORMATIVA VIGENTE, INCLUIDO TRAFICO ALTERNATIVO CON DOS OPERARIOS POR C/. JOSE MARÍA ZARAUZ.","23/01/2017 0:00:00","31/12/2017 0:00:00","C/. RAMBLILLA SAN LAZARO, N  41, ESQUINA C/. CANO Y NOIRA  EXP. 82/2017","-1.70313304827118","37.6732323590373","http://www.lorca.es/ficheros/File/trafico/detalle.asp?id=470&trafico=18963"
"16963","Calle cortada","REPUESTO DOS PIVOTES CON CADENA  CANDADO CON LLAVE HABITUAL, SEÑALES  DE ENTRADA PROHIBIDA R-101, REFLEXIVA CON INSCRIPCIÓN EXCEPTO VEHÍCULOS AUTORIZADOS, POR MOTIVOS DE SEGURIDAD VIAL Y EVITAR DAÑOS MATERIALES.","20/10/2015 0:00:00","31/12/2017 0:00:00","ACCESO AL CAUCE RIO GUADALENTIN, ZONA CON CESPED-JARDIN, ALTURA LA VELICA Y ACCESO POR BADEN CAMINO RIBERA SAN MIGUEL,EXP. 1390","-1.69994464763795","37.6811565983714","http://www.lorca.es/ficheros/File/trafico/detalle.asp?id=470&trafico=16963"
"13279","Calle cortada","INSTALACION DE BARRERA-CADENA AUTOMATICAS DE ACCESO RESTRINGIDO, ACCESO PROHIBIDO EXCEPTO VEHICULOS AUTORIZADOS,personal adcrito al parking Lorca-Plaza, se encargará de abrir la barrera en las horas que la normativa para vehículos destinados a carga y descarga de 8 a 14 horas y de 17 a 20 horas y demás reservas autorizadas permita de conforme con las Ordenanzas Municipales, serán custodios permanentemente de los mecanismo apertura y cierre, para cualquier necesidad de emergencia o vecinal llamando al timbre instalado en las proximidades y entregada llave a los servicios públicos de emergencia.","29/04/2013 0:00:00","31/12/2017 0:00:00","ACCESO A CALLES PERIMETRALES A LA ANTIGUA PLAZA ABASTOS (SOBRE PARKING LORCA-CENTRO) EN SU ENTRADA AL TRAFICO RODADO POR C/. GENERAL EYTIER FRENTE A C/. CUBO DE ESTA CIUDAD.","-1.6998687570084","37.6754630969221","http://www.lorca.es/ficheros/File/trafico/detalle.asp?id=470&trafico=13279"
"17442","Calle cortada","ENTRADA PROHIBIDA,  R-101, EXCEPTO USUARIOS DE GARAJE","28/01/2016 0:00:00","31/12/2017 0:00:00","C/. ARQUITECTO ORTIZ DE LA JARA, desde n  5, sentido Acceso  I.E.S. ROS GINER Y C/. FRAY DIEGO DE CADIZ, EXP. 106","-1.69953730489351","37.6670508439505","http://www.lorca.es/ficheros/File/trafico/detalle.asp?id=470&trafico=17442"
"19910","Calle cortada","PROHIBIDO ESTACIONAR, OBRAS DE RENOVACIÓN URBANA, empresA  responsable debe señalizar según normativa vigente.","07/09/2017 0:00:00","05/11/2017 0:00:00","C/. PINTOR SALVADOR ZAMORA, B  SAN QUITERIA.EXP. 1304/2017, ","-1.69908430555722","37.6703486720169","http://www.lorca.es/ficheros/File/trafico/detalle.asp?id=470&trafico=19910"
"19911","Calle cortada","PROHIBIDO ESTACIONAR, POR OBRAS RENOVACIÓN URBANA, empresa responsable debe señalizar segun normativa vigente.","07/09/2017 0:00:00","30/10/2017 0:00:00","C/. MARIA AGUSTINA, CON ALGUNAS CALLES ADYACENTES. EXP. 1305/2017","-1.6990628478851","37.6701788257861","http://www.lorca.es/ficheros/File/trafico/detalle.asp?id=470&trafico=19911"
"20098","Calle cortada","OBRAS RENOVACIÓN URBANA, empresa responsable debe señalizar según normativa vigente. (avisado parking Plaza Coloón y reservadas plazas para vehículos de garajes afectados)","30/10/2017 0:00:00","01/12/2017 0:00:00","C/. SERRALLO, EXP. 1493/2017","-1.69858105211483","37.6720875632084","http://www.lorca.es/ficheros/File/trafico/detalle.asp?id=470&trafico=20098"
"19761","Calle cortada","- - PROHIBIDO ESTACIONAR, PARA OBRAS RENOVACIÓN URBANA (SISMO DE 2011), EMPRESA RESPONSABLE PRESEÑALIZA CON CARTELES DE AVISO, desde rotonda de acceso a la ciudad,etc y señaliza según normativa vigente, los vehículos de hasta 6 m. de longitud, que circulen por Avda. SAnta Clara, sentido Centro Ciudad-Ovalo, serán desviados * POR Puente La Alberca-C/. Santo Domingo-c/. Lope Gisbert-Ovalo, o por C/. Poeta Gimeno Castellar-Fajardo El Bravo-Alameda Ramón y Cajal- Musso Valiente, Lope Gisbert--Ovalo. *INCLUIDO AUTOBUSES URBANOS Y TRANSPORTE ESCOLAR.","10/07/2017 0:00:00","31/10/2017 0:00:00","- - AVDA. JUAN CARLOS I, SENTIDO OVALO, tramo entre Ovalo y Avda. SAnta Clara,  CORTADA PARA TRAFICO RODADO, EXP. 1161/2017 ,exp. 530/2017 y exp. 101/2017 ","-1.69857384763793","37.6715917674802","http://www.lorca.es/ficheros/File/trafico/detalle.asp?id=470&trafico=19761"
"19499","Calle cortada","CARGA Y DESCARGA PARA OBRAS  RECONSTRUCCIÓN  VIVIENDA, POR DAÑOS SEISMOS DE 8 A 20 HORAS, EXCEPTO EN HORARIO ESCOLAR.","16/05/2017 0:00:00","15/12/2017 0:00:00","C/. CAVA, 24,  tramo entre C/. Rojo y C/. Mata, EXP. 747/2017","-1.69853436197127","37.6776084972859","http://www.lorca.es/ficheros/File/trafico/detalle.asp?id=470&trafico=19499"
"19814","Calle cortada","Prohibido Circulación al Tráfico rodado  por Obras Renov. Urbana. Se habilita zona de Carga-descarga en Alda. Menchirón. R.E.A. de señalización según normativa vigente. ","02/08/2017 0:00:00","31/10/2017 0:00:00","AVDA. JUAN CARLOS I     (tramo  Ovalo - Alda. Menchirón)       Exp.  1210/17","-1.69830562673644","37.67179557903","http://www.lorca.es/ficheros/File/trafico/detalle.asp?id=470&trafico=19814"
