sector,puesto,funciones,horariolibre,tipo_contrato,duracion,otrascondiciones,salario,dialaboralde,carnet,vehiculo,experiencia,otrosrequisitos,annio,referencia,urloferta
"Industria","CHOFER","REPARTIDOR, CARGA Y DESCARGA","8","INDEFINIDO","INDEFINIDO","EXPERIENCIA DEMOSTRABLE, TARJETA DE TACÓGRAFO, CAP, CARNET PARA CONDUCIR CAMION SEMI-RIGIDO","1300","LUNES A SABADO","SI","SI","SI","","17","223","http://www.concejaliadeempleo.lorca.es/oferta-demanda-empleo/detalle-oferta-empleo-privado.asp?idoferta=1302"
"Comercio y Marketing","MECANICO","REPARACION Y DIAGNOSTICO DE AUTOMOVILES","","","INDEFINIDO","Necesito mecanico con experiencia para reparacion de automoviles y su diagnostico.  Inconcorporacion inmediata ","1300","LUNES A VIERNES","SI","SI","SI","","17","221","http://www.concejaliadeempleo.lorca.es/oferta-demanda-empleo/detalle-oferta-empleo-privado.asp?idoferta=1300"
"Administración y Gestión","CAMARERO/A","LAS PROPIAS DEL PUESTO","","EVENTUAL- EXTRA"," DIAS SUELTOS/ FINES DE SEMANA","","60","DE LUNES A DOMINGOS CON LOS DESCANSOS QUE ESTABLECE LA LEY","SI","SI","SI","CARNET DE MANIPULADOR DE ALIMENTOS","17","220","http://www.concejaliadeempleo.lorca.es/oferta-demanda-empleo/detalle-oferta-empleo-privado.asp?idoferta=1299"
"Informática y Telecomunicaciones","PROGRAMADOR WEB ","PROGRAMADOR/A WEB ","","Indefinido","Tiempo completo","Buscamos programador/a web con conocimientos/experiencia en PHP-SQL-HTML para programación Web de el tiempo, generación de mapas, uso bases de datos,.. Preferentemente con residencia cercana al puesto. etc.	  ","22050","","NO","NO","NO","","17","219","http://www.concejaliadeempleo.lorca.es/oferta-demanda-empleo/detalle-oferta-empleo-privado.asp?idoferta=1298"
"Hostelería y Turismo","cocinero/a","Elaboraciones saladas, preparación y corte de los ingredientes, platos de carta, realiización de diferentes tareas de cocina propias de la posición de cocinero.","","Eventual","Indeterminada","","8.12 brutos por hora","De Lunes a Domingo con un día de descanso","SI","SI","SI","","17","217","http://www.concejaliadeempleo.lorca.es/oferta-demanda-empleo/detalle-oferta-empleo-privado.asp?idoferta=1296"
"Especialistas Técnicos","Oficial de Mantenimiento","Funciones propias del área de mantenimiento, tanto preventivo como correctivo, cumpliendo con los planes establecidos.","","Indefinido","duración","Imprescindible experiencia descrita y titulación en Formación Profesional en las ramas de electricidad o mecánica. No se valorarán candidaturas que incumplan este requisito.","1660","De lunes a viernes","SI","SI","SI","Buscamos incorporar profesionales de mantenimiento que dispongan conocimientos de caldererería, electricidad, neumática y cerrajería. ","17","216","http://www.concejaliadeempleo.lorca.es/oferta-demanda-empleo/detalle-oferta-empleo-privado.asp?idoferta=1295"
"Servicios","VENDEDOR/COMERCIAL","COMERCIALIZACION DE PRODUCTOS PARA LA CONSTRUCCION","8 horas","TEMPORAL","","","1200","LUNES A VIERNES","SI","NO","SI","TENER CONOCIMIENTOS DE CONSTRUCCION","17","214","http://www.concejaliadeempleo.lorca.es/oferta-demanda-empleo/detalle-oferta-empleo-privado.asp?idoferta=1292"
"Comercio y Marketing","Gestor de importación de compras","GESTIÓN DE COMPRAS IMPORTACIÓN, TRATO CON PROVEEDORES, GESTIÓN PEDIDOS VENTA, TRATO CON CLIENTES","","INDEFINIDO","duración","Persona con capacidad organizativa y resolutiva Nivel inglés C1 Acostumbrada a tratos con empresas de logística de importación IMPRESCINDIBLE ACOMPAÑAR FOTOGRAFIA ACTUAL AL C.V.","900","LUNES-VIERNES","SI","SI","SI","recomendable modulo superior Comercio Internacional","17","213","http://www.concejaliadeempleo.lorca.es/oferta-demanda-empleo/detalle-oferta-empleo-privado.asp?idoferta=1293"
"Hostelería y Turismo","Camarera","Servir en barra y mesa","17:00","Hostelería","Indefinido","","500/600","Turnos rotativos. De lunes a sábado. Sábado sólo mañanas","NO","NO","SI","Medio de transporte para desplazarse al lugar de trabajo","17","209","http://www.concejaliadeempleo.lorca.es/oferta-demanda-empleo/detalle-oferta-empleo-privado.asp?idoferta=1291"
"Hostelería y Turismo","Ayudante de cocina","Elaboración de menús y tapas.","","Posibilidad de indefinido","duración","","800-1000","De lunes a sábados","NO","NO","NO","Medio de transporte para desplazarse al lugar de trabajo. Conocimientos de cocina","17","208","http://www.concejaliadeempleo.lorca.es/oferta-demanda-empleo/detalle-oferta-empleo-privado.asp?idoferta=1289"
