id,plazas,subgrupo,plaza,turno,acceso,urloferta
"398","10","-","ALUMNO/A ACTIVIDADES AUXILIARES DE COMERCIO - PROYECTO EMPLEO JOVEN LORCA","LIBRE","PRUEBAS SELECTIVAS","http://wwww.lorca.es/ficheros/file/oposiciones/apartados.asp?opo=398&id=464"
"399","10","-","ALUMNO/A ARREGLOS Y ADAPTACIONES DE PRENDAS Y ARTÍCULOS EN TEXTIL Y PIEL - PROYECTO EMPLEO JOVEN LORCA","LIBRE","PRUEBAS SELECTIVAS","http://wwww.lorca.es/ficheros/file/oposiciones/apartados.asp?opo=399&id=464"
"400","12","-","ALUMNO/A ATENCIÓN SOCIOSANITARIA A PERSONAS PEDENDIENTES EN INSTITUCIONES SOCIALES - PROYECTO EMPLEO JOVEN LORCA","LIBRE","PRUEBAS SELECTIVAS","http://wwww.lorca.es/ficheros/file/oposiciones/apartados.asp?opo=400&id=464"
"404","12","-","ALUMNO/A BORDADOS EN SEDA Y ORO - PROYECTO EMPLEO JOVEN LORCA","LIBRE","PRUEBAS SELECTIVAS","http://wwww.lorca.es/ficheros/file/oposiciones/apartados.asp?opo=404&id=464"
"403","10","-","ALUMNO/A CERRAJERÍA - PROYECTO EMPLEO JOVEN LORCA","LIBRE","PRUEBAS SELECTIVAS","http://wwww.lorca.es/ficheros/file/oposiciones/apartados.asp?opo=403&id=464"
"401","10","-","ALUMNO/A DINAMIZACIÓN ACTIVIDADES DE TIEMPO LIBRE EDUCATIVO, INFANTIL Y JUVENIL - PROYECTO EMPLEO JOVEN LORCA","LIBRE","PRUEBAS SELECTIVAS","http://wwww.lorca.es/ficheros/file/oposiciones/apartados.asp?opo=401&id=464"
"397","10","-","ALUMNO/A OPERACIONES AUXILIARES MONTAJE Y MANTENIMIENTO DE SISTEMAS MICROINFORMÁTICOS - PROYECTO EMPLEO JOVEN LORCA","LIBRE","PRUEBAS SELECTIVAS","http://wwww.lorca.es/ficheros/file/oposiciones/apartados.asp?opo=397&id=464"
"395","10","-","ALUMNO/A OPERACIONES BÁSICAS DE COCINA - PROYECTO EMPLEO JOVEN LORCA","LIBRE","PRUEBAS SELECTIVAS","http://wwww.lorca.es/ficheros/file/oposiciones/apartados.asp?opo=395&id=464"
"396","10","-","ALUMNO/A OPERACIONES BÁSICAS DE RESTAURANTE BAR - PROYECTO EMPLEO JOVEN LORCA","LIBRE","PRUEBAS SELECTIVAS","http://wwww.lorca.es/ficheros/file/oposiciones/apartados.asp?opo=396&id=464"
"402","10","-","ALUMNO/A PROMOCIÓN TURÍSTICA LOCAL E INFORMACIÓN AL VISITANTE - PROYECTO EMPLEO JOVEN LORCA","LIBRE","PRUEBAS SELECTIVAS","http://wwww.lorca.es/ficheros/file/oposiciones/apartados.asp?opo=402&id=464"
"382","7","-","BECA DE FORMACIÓN-COLABORACIÓN PRÁCTICA EN EL ÁMBITO DE LA RESTAURACIÓN DE MADERA ","LIBRE","PRUEBAS SELECTIVAS","http://wwww.lorca.es/ficheros/file/oposiciones/apartados.asp?opo=382&id=464"
"408","1","A2","DOCENTE DE INFORMÁTICA PARA PROYECTO EMPLEO JOVEN LORCA","LIBRE","PRUEBAS SELECTIVAS","http://wwww.lorca.es/ficheros/file/oposiciones/apartados.asp?opo=408&id=464"
"407","1","A2","DOCENTE DE INGLÉS PARA EL PROYECTO EMPLEO JOVEN LORCA","LIBRE","PRUEBAS SELECTIVAS","http://wwww.lorca.es/ficheros/file/oposiciones/apartados.asp?opo=407&id=464"
"379","1","C2","ELECTRICISTA (PERSONAL LABORAL FIJO)","LIBRE","OPOSICIÓN ","http://wwww.lorca.es/ficheros/file/oposiciones/apartados.asp?opo=379&id=464"
"380","1","A1","INGENIERO INDUSTRIAL ","LIBRE","OPOSICIÓN ","http://wwww.lorca.es/ficheros/file/oposiciones/apartados.asp?opo=380&id=464"
"384","2","A2","MAESTRO/A - PROYECTO EMPLEO JOVEN LORCA","LIBRE","PRUEBAS SELECTIVAS","http://wwww.lorca.es/ficheros/file/oposiciones/apartados.asp?opo=384&id=464"
"405","1","C1","MONITOR/A (2) ACCIÓN FORMATIVA DE BORDADOS - PROYECTO EMPLEO JOVEN LORCA  ","LIBRE","PRUEBAS SELECTIVAS","http://wwww.lorca.es/ficheros/file/oposiciones/apartados.asp?opo=405&id=464"
"385","1","C1","MONITOR/A ACCIÓN FORMATIVA DE BORDADOS - PROYECTO EMPLEO JOVEN LORCA ","LIBRE","PRUEBAS SELECTIVAS","http://wwww.lorca.es/ficheros/file/oposiciones/apartados.asp?opo=385&id=464"
"383","2","C1","MONITOR/A ACCIÓN FORMATIVA DE CERRAJERÍA - PROYECTO EMPLEO JOVEN LORCA ","LIBRE","PRUEBAS SELECTIVAS","http://wwww.lorca.es/ficheros/file/oposiciones/apartados.asp?opo=383&id=464"
"390","1","C1","MONITOR/A CERTIFICADOS PROFESIONALIDAD ACTIVIDADES DE COMERCIO - PROYECTO EMPLEO JOVEN LORCA","LIBRE","PRUEBAS SELECTIVAS","http://wwww.lorca.es/ficheros/file/oposiciones/apartados.asp?opo=390&id=464"
