id,titulo,url,fechainicio,fechafin,longitud,latitud
"2446","Fiesta Infantil de Brujas en el Castillo de Lorca","http://www.culturayfestejos.lorca.es/agenda/detalleAgenda.asp?agenda=2446","28/10/2017 0:00:00","01/11/2017 0:00:00","-1.70473001075902","37.6775412071535"
"2435","San Patricio y Las Tres Plazas","http://www.culturayfestejos.lorca.es/agenda/detalleAgenda.asp?agenda=2435","30/10/2017 0:00:00","03/11/2017 0:00:00","-1.69954261852422","37.6766453507432"
"2448","La Noche del Tenorio ","http://www.culturayfestejos.lorca.es/agenda/detalleAgenda.asp?agenda=2448","31/10/2017 0:00:00","31/10/2017 0:00:00","-1.69944069458165","37.67312550684"
"2236","LORCA MONUMENTAL","http://www.culturayfestejos.lorca.es/agenda/detalleAgenda.asp?agenda=2236","01/11/2017 0:00:00","01/11/2017 0:00:00","-1.69696769786992","37.6797234850808"
"2436","San Patricio y Las Tres Plazas","http://www.culturayfestejos.lorca.es/agenda/detalleAgenda.asp?agenda=2436","06/11/2017 0:00:00","10/11/2017 0:00:00","-1.69954261852422","37.6766453507432"
"2444","SEPOR (50 aniversario)","http://www.culturayfestejos.lorca.es/agenda/detalleAgenda.asp?agenda=2444","06/11/2017 0:00:00","09/11/2017 0:00:00","-1.68904445243993","37.6736329011524"
"2425","ROSANA","http://www.culturayfestejos.lorca.es/agenda/detalleAgenda.asp?agenda=2425","10/11/2017 0:00:00","10/11/2017 0:00:00","-1.69859579874196","37.6733038382908"
"2243","LA DAGA ROJA","http://www.culturayfestejos.lorca.es/agenda/detalleAgenda.asp?agenda=2243","11/11/2017 0:00:00","11/11/2017 0:00:00","-1.69696769786992","37.6797234850808"
"2437","San Patricio y Las Tres Plazas","http://www.culturayfestejos.lorca.es/agenda/detalleAgenda.asp?agenda=2437","13/11/2017 0:00:00","17/11/2017 0:00:00","-1.69954261852422","37.6766453507432"
"2426","EL BARBERO DE SEVILLA","http://www.culturayfestejos.lorca.es/agenda/detalleAgenda.asp?agenda=2426","13/11/2017 0:00:00","13/11/2017 0:00:00","-1.69859579874196","37.6733038382908"
"2429","IMPACTO 3.0","http://www.culturayfestejos.lorca.es/agenda/detalleAgenda.asp?agenda=2429","19/11/2017 0:00:00","19/11/2017 0:00:00","-1.69859579874196","37.6733038382908"
"2438","San Patricio y Las Tres Plazas","http://www.culturayfestejos.lorca.es/agenda/detalleAgenda.asp?agenda=2438","20/11/2017 0:00:00","24/11/2017 0:00:00","-1.69908396078267","37.6767854617011"
"2232","LORCA MONUMENTAL","http://www.culturayfestejos.lorca.es/agenda/detalleAgenda.asp?agenda=2232","25/11/2017 0:00:00","25/11/2017 0:00:00","-1.69696769786992","37.6797234850808"
"2439","San Patricio y Las Tres Plazas","http://www.culturayfestejos.lorca.es/agenda/detalleAgenda.asp?agenda=2439","27/11/2017 0:00:00","01/12/2017 0:00:00","-1.69908396078267","37.6767854617011"
"2430","UNA GATA SOBRE UN TEJADO DE ZINC CALIENTE","http://www.culturayfestejos.lorca.es/agenda/detalleAgenda.asp?agenda=2430","30/11/2017 0:00:00","30/11/2017 0:00:00","-1.69859579874196","37.6733038382908"
"2441","CARLOS NUÑEZ","http://www.culturayfestejos.lorca.es/agenda/detalleAgenda.asp?agenda=2441","02/12/2017 0:00:00","02/12/2017 0:00:00","-1.69859579874196","37.6733038382908"
"2235","LORCA MONUMENTAL","http://www.culturayfestejos.lorca.es/agenda/detalleAgenda.asp?agenda=2235","06/12/2017 0:00:00","06/12/2017 0:00:00","-1.69696769786992","37.6797234850808"
"2244","LA DAGA ROJA","http://www.culturayfestejos.lorca.es/agenda/detalleAgenda.asp?agenda=2244","09/12/2017 0:00:00","09/12/2017 0:00:00","-1.69696769786992","37.6797234850808"
"2442","LOS CACIQUES","http://www.culturayfestejos.lorca.es/agenda/detalleAgenda.asp?agenda=2442","14/12/2017 0:00:00","14/12/2017 0:00:00","-1.69859579874196","37.6733038382908"
"2443","MOCEDADES SINFÓNICO","http://www.culturayfestejos.lorca.es/agenda/detalleAgenda.asp?agenda=2443","15/12/2017 0:00:00","15/12/2017 0:00:00","-1.69859579874196","37.6733038382908"
"2233","LORCA MONUMENTAL","http://www.culturayfestejos.lorca.es/agenda/detalleAgenda.asp?agenda=2233","23/12/2017 0:00:00","23/12/2017 0:00:00","-1.69696769786992","37.6797234850808"
"2234","LORCA MONUMENTAL","http://www.culturayfestejos.lorca.es/agenda/detalleAgenda.asp?agenda=2234","30/12/2017 0:00:00","30/12/2017 0:00:00","-1.69696769786992","37.6797234850808"
