anio_nacimiento,hombres,mujeres
"1913","2","1"
"1914","1","0"
"1915","1","1"
"1916","0","3"
"1917","0","2"
"1918","1","10"
"1919","4","15"
"1920","4","11"
"1921","15","20"
"1922","20","34"
"1923","17","26"
"1924","29","78"
"1925","29","83"
"1926","49","111"
"1927","54","122"
"1928","89","150"
"1929","78","145"
"1930","112","189"
"1931","122","201"
"1932","131","226"
"1933","183","240"
"1934","169","295"
"1935","179","255"
"1936","195","290"
"1937","224","258"
"1938","186","281"
"1939","149","187"
"1940","318","349"
"1941","235","317"
"1942","203","261"
"1943","270","325"
"1944","295","314"
"1945","348","395"
"1946","333","398"
"1947","359","395"
"1948","367","416"
"1949","381","377"
"1950","376","378"
"1951","385","411"
"1952","400","433"
"1953","418","387"
"1954","393","406"
"1955","416","455"
"1956","451","429"
"1957","487","489"
"1958","509","485"
"1959","540","515"
"1960","547","528"
"1961","575","552"
"1962","616","567"
"1963","639","644"
"1964","717","666"
"1965","724","630"
"1966","755","669"
"1967","750","706"
"1968","746","678"
"1969","807","646"
"1970","832","752"
"1971","789","684"
"1972","852","785"
"1973","875","740"
"1974","947","768"
"1975","1030","730"
"1976","1010","767"
"1977","971","763"
"1978","987","798"
"1979","962","749"
"1980","998","755"
"1981","898","672"
"1982","852","711"
"1983","774","634"
"1984","664","605"
"1985","657","600"
"1986","656","552"
"1987","644","597"
"1988","549","563"
"1989","618","541"
"1990","626","559"
"1991","564","598"
"1992","565","553"
"1993","570","530"
"1994","557","515"
"1995","523","507"
"1996","546","523"
"1997","530","531"
"1998","558","492"
"1999","552","503"
"2000","529","513"
"2001","557","527"
"2002","536","543"
"2003","556","512"
"2004","563","517"
"2005","564","519"
"2006","567","495"
"2007","609","520"
"2008","618","583"
"2009","587","559"
"2010","593","496"
"2011","592","594"
"2012","578","560"
"2013","526","558"
"2014","559","577"
"2015","583","472"
"2016","551","528"
"2017","405","349"
