anio,hombres,mujeres
"1997","829","829"
"1998","1144","1144"
"1999","1729","1729"
"2000","6075","6075"
"2001","4915","4915"
"2002","4349","4349"
"2003","4471","4471"
"2004","4581","4581"
"2005","4926","4926"
"2006","4498","4498"
"2007","4903","4903"
"2008","3968","3968"
"2009","3500","3500"
"2010","2731","2731"
"2011","2686","2686"
"2012","2383","2383"
"2013","2388","2388"
"2014","2442","2442"
"2015","2669","2669"
"2016","3156","3156"
"2017","2832","2832"
