AÑO;CODIGO AYUNTAMIENTO;NOMBRE AYUNTAMIENTO;CODIGO IMPUESTO;NOMBRE IMPUESTO;CODIGO CALLE;NOMBRE CALLE;DISTRITO;SECCION;NRO RECIBOS;IMPORTE RECAUDADO;IMPORTE EJECUTIVA PENDIENTE;.                                                                                                                                                                                                                                                                                                                                                                                                                            
2016;067;ERRENTERIA;001;IMP.VEHIC.TRAC;;;;;20.484;2.108.547,25;125.009,84;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2016;067;ERRENTERIA;002;TASA RECOG. BA;1101;GOIKO KALEA / CALLE ARRIBA;001;001;71;7.390,52;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2016;067;ERRENTERIA;002;TASA RECOG. BA;1103;HERRIKO PLAZA;001;003;41;4.521,03;843,11;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2016;067;ERRENTERIA;002;TASA RECOG. BA;1104;ELIZAKO KALEA / CALLE IGLESIA;001;001;49;5.642,74;339,42;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2016;067;ERRENTERIA;002;TASA RECOG. BA;1105;MADALEN KALEA;000;000;10;1.730,89;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2016;067;ERRENTERIA;002;TASA RECOG. BA;1105;MADALEN KALEA;001;001;37;4.371,98;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2016;067;ERRENTERIA;002;TASA RECOG. BA;1105;MADALEN KALEA;001;003;71;9.622,64;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2016;067;ERRENTERIA;002;TASA RECOG. BA;1106;ERDIKO KALEA / CALLE MEDIO;001;001;73;7.477,56;905,12;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2016;067;ERRENTERIA;002;TASA RECOG. BA;1107;MIGUEL ALDUNTZIN KALEA;000;000;1;184,52;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2016;067;ERRENTERIA;002;TASA RECOG. BA;1107;MIGUEL ALDUNTZIN KALEA;001;005;166;16.121,92;339,42;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2016;067;ERRENTERIA;002;TASA RECOG. BA;1107;MIGUEL ALDUNTZIN KALEA;001;020;12;1.160,88;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2016;067;ERRENTERIA;002;TASA RECOG. BA;1107;MIGUEL ALDUNTZIN KALEA;001;034;60;5.484,41;333,76;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2016;067;ERRENTERIA;002;TASA RECOG. BA;1108;ORERETA KALEA;001;001;17;2.103,16;226,28;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2016;067;ERRENTERIA;002;TASA RECOG. BA;1109;PABLO IGLESIAS KALEA;001;001;40;4.988,48;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2016;067;ERRENTERIA;002;TASA RECOG. BA;1109;PABLO IGLESIAS KALEA;001;020;100;10.772,26;113,14;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2016;067;ERRENTERIA;002;TASA RECOG. BA;1110;SANTA KLARA KALEA;001;001;1;536,37;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2016;067;ERRENTERIA;002;TASA RECOG. BA;1110;SANTA KLARA KALEA;001;020;257;25.825,59;1.238,88;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2016;067;ERRENTERIA;002;TASA RECOG. BA;1201;KAPITANENEA KALEA;001;003;100;11.553,61;1.168,45;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2016;067;ERRENTERIA;002;TASA RECOG. BA;1202;KRISTOBAL GAMON KALEA;001;002;100;10.517,26;113,14;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2016;067;ERRENTERIA;002;TASA RECOG. BA;1203;FERNANDEZ DE LANDA PLAZA;001;003;37;4.579,73;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2016;067;ERRENTERIA;002;TASA RECOG. BA;1204;JUAN IGNACIO GAMON ZUMARDIA/AL;000;000;41;5.906,28;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2016;067;ERRENTERIA;002;TASA RECOG. BA;1204;JUAN IGNACIO GAMON ZUMARDIA/AL;001;001;3;1.063,85;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
