Mun;Referen;Superfic.;UC ;U;C;T;FechaFiO
067;8694027;    70,00;001;1;1;1;19900101
067;8791007;    94,00;001;1;1;2;19000101
067;8791007;    94,00;002;9;3;2;19000101
067;8791007;    94,00;003;9;3;2;19000101
067;8791007;    94,00;004;9;3;2;19000101
067;8791008;   518,69;001;6;2;2;19980312
067;8791008;   518,69;002;6;2;2;19980312
067;8791008;   518,69;003;9;1;1;19980312
067;8793006;   200,00;001;4;1;1;19700101
067;8794001;   246,00;001;1;1;1;19000101
067;8794002;   310,00;001;1;1;1;19750101
067;8794002;   310,00;002;9;3;2;19750101
067;8794003;  2273,25;001;1;1;1;19000101
067;8794003;  2273,25;002;9;1;2;19570101
067;8794003;  2273,25;003;4;3;2;19870101
067;8794003;  2273,25;004;4;3;3;19970101
067;8794003;  2273,25;005;4;3;3;20010101
067;8794003;  2273,25;006;9;3;2;19000101
067;8794003;  2273,25;007;4;3;3;19910101
067;8794003;  2273,25;008;4;3;3;20040407
067;8795001;  5599,88;001;8;2;2;19890101
067;8886001;   230,00;001;1;2;1;19000101
067;8891003;   826,65;001;1;1;1;20051004
067;8891003;   826,65;002;4;3;2;20060119
067;8891003;   826,65;003;4;3;3;20060119
067;8891003;   826,65;004;9;3;1;20060119
067;8891004;   265,00;001;1;1;1;19000101
067;8891004;   265,00;002;9;3;1;19000101
067;8891004;   265,00;003;9;3;2;19000101
067;8891004;   265,00;004;9;3;2;19000101
067;8891005;    54,00;001;1;1;1;19720101
067;8891006;   260,00;001;1;2;1;19910101
067;8891007;   550,00;001;1;1;1;19000101
067;8891007;   550,00;002;9;1;2;19000101
067;8891007;   550,00;003;9;3;2;19000101
067;8891007;   550,00;004;4;2;1;19000101
067;8891007;   550,00;005;9;3;2;19000101
067;8891008;   107,00;001;1;1;1;19750101
067;8891009;   106,98;001;1;1;1;20110714
067;8892018;   240,83;001;1;1;1;19000101
067;8892019;   890,00;001;1;1;2;19670330
067;8892019;   890,00;002;9;3;2;19670330
067;8892019;   890,00;003;6;1;1;20101129
067;8892019;   890,00;004;9;1;1;20101129
067;8892019;   890,00;005;9;2;2;20101129
067;8892020;   406,60;001;1;1;2;19740717
067;8892020;   406,60;002;9;3;2;19880101
067;8892020;   406,60;003;5;2;4;19740717
067;8892020;   406,60;004;9;3;2;19740717
067;8892020;   406,60;005;9;3;2;19880101
067;8892021;   374,00;001;1;2;1;19000101
067;8892021;   374,00;002;9;3;2;19000101
067;8892021;   374,00;003;1;1;1;19640210
067;8892021;   374,00;004;9;1;2;19780101
067;8892022;   142,00;001;1;1;1;19790405
067;8892023;   560,00;001;1;1;1;19000101
067;8892023;   560,00;002;9;3;2;19730101
067;8892023;   560,00;003;9;3;2;19000101
067;8892024;   117,00;001;1;1;1;19760101
067;8892024;   117,00;002;9;3;2;19760101
067;8892025;   239,00;001;1;1;1;19000101
067;8892025;   239,00;002;9;3;2;19000101
067;8892026;   157,00;001;1;1;1;19000101
067;8892026;   157,00;002;9;3;2;19000101
067;8892027;   494,00;001;1;1;1;19770101
067;8892027;   494,00;002;9;1;2;19770101
067;8892027;   494,00;003;9;3;2;19770101
067;8892027;   494,00;004;9;3;2;19700101
067;8892028;   160,61;001;1;1;1;19950612
067;8892029;   200,00;001;1;1;1;19741105
067;8892030;   176,00;001;1;1;1;19800101
067;8892031;   145,00;001;1;1;2;19000101
067;8892031;   145,00;002;9;3;2;19000101
067;8892032;   145,00;001;1;1;2;19000101
067;8892032;   145,00;002;9;3;2;19000101
067;8892033;   374,94;001;6;2;1;19860101
067;8892033;   374,94;002;1;1;1;19860101
067;8892033;   374,94;003;9;3;2;19860101
067;8892033;   374,94;098;9;1;2;19700101
067;8892033;   374,94;099;1;2;1;19880101
067;8892034;   140,00;001;1;1;1;19000101
067;8892034;   140,00;002;1;1;1;19940514
067;8892035;   153,00;001;1;1;1;19000101
067;8892036;   145,00;001;1;1;1;19000101
067;8892036;   145,00;002;9;3;2;19000101
067;8893015;   200,00;001;1;1;1;19750101
067;8893015;   200,00;002;9;3;2;19700101
067;8893016;   326,00;001;1;2;2;19000101
067;8893017;  2000,00;001;8;1;3;19780421
067;8893020;   277,00;001;1;2;1;19000101
067;8893020;   277,00;002;9;3;2;19000101
067;8893020;   277,00;003;9;3;1;19000101
067;8893021;  1050,00;001;4;1;1;19800101
067;8893021;  1050,00;002;9;3;2;19800101
067;8893022;   208,00;001;1;1;1;19970315
067;8893023;    81,00;001;1;1;1;19981102
067;8893024;   286,00;001;1;1;1;19000101
067;8893024;   286,00;002;9;1;2;19660101
067;8893025;   244,00;001;1;1;1;19870101
067;8893026;   125,00;001;1;1;1;19000101
067;8893026;   125,00;002;9;3;2;19000101
067;8893027;   183,00;001;1;1;1;19000101
067;8893027;   183,00;002;9;3;2;19600101
067;8893028;    53,00;001;1;1;2;19000101
