AÑO;CODIGO AYUNTAMIENTO;NOMBRE AYUNTAMIENTO;CODIGO IMPUESTO;NOMBRE IMPUESTO;CODIGO CALLE;NOMBRE CALLE;DISTRITO;SECCION;NRO RECIBOS;IMPORTE RECAUDADO;IMPORTE EJECUTIVA PENDIENTE;.                                                                                                                                                                                                                                                                                                                                                                                                                            
2015;067;ERRENTERIA;001;IMP.VEHIC.TRAC;;;;;20.575;2.108.405,38;84.872,22;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2015;067;ERRENTERIA;002;TASA RECOG. BA;1101;GOIKO KALEA / CALLE ARRIBA;001;001;69;7.135,12;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2015;067;ERRENTERIA;002;TASA RECOG. BA;1103;HERRIKO PLAZA;001;003;41;5.072,96;115,74;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2015;067;ERRENTERIA;002;TASA RECOG. BA;1104;ELIZAKO KALEA / CALLE IGLESIA;001;001;48;5.475,78;119,81;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2015;067;ERRENTERIA;002;TASA RECOG. BA;1105;MADALEN KALEA;000;000;10;1.940,07;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2015;067;ERRENTERIA;002;TASA RECOG. BA;1105;MADALEN KALEA;001;001;36;4.046,85;604,73;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2015;067;ERRENTERIA;002;TASA RECOG. BA;1105;MADALEN KALEA;001;003;73;9.453,34;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2015;067;ERRENTERIA;002;TASA RECOG. BA;1106;ERDIKO KALEA / CALLE MEDIO;001;001;73;6.999,80;582,91;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2015;067;ERRENTERIA;002;TASA RECOG. BA;1107;MIGUEL ALDUNTZIN KALEA;000;000;1;180,90;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2015;067;ERRENTERIA;002;TASA RECOG. BA;1107;MIGUEL ALDUNTZIN KALEA;001;005;166;16.208,52;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
