URTEA;UDAL KODEA;UDALAREN IZENA;TARIFA;TARIFAREN DESKRIBAPENA;ALTA EGUNA;IBILGAILU KOPURUA;.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2015;067;ERRENTERIA;01;9HP FISKALETIK BEHERAKO TURISMOA;2015/01/13;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2015;067;ERRENTERIA;01;9HP FISKALETIK BEHERAKO TURISMOA;2015/02/23;348;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2015;067;ERRENTERIA;01;9HP FISKALETIK BEHERAKO TURISMOA;2015/03/04;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2015;067;ERRENTERIA;02;9HP FISKALETIK 11,99HP-RAINOKO TURISMOA;2015/01/15;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2015;067;ERRENTERIA;02;9HP FISKALETIK 11,99HP-RAINOKO TURISMOA;2015/01/28;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2015;067;ERRENTERIA;02;9HP FISKALETIK 11,99HP-RAINOKO TURISMOA;2015/02/02;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2015;067;ERRENTERIA;02;9HP FISKALETIK 11,99HP-RAINOKO TURISMOA;2015/02/10;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2015;067;ERRENTERIA;02;9HP FISKALETIK 11,99HP-RAINOKO TURISMOA;2015/02/16;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2015;067;ERRENTERIA;02;9HP FISKALETIK 11,99HP-RAINOKO TURISMOA;2015/02/17;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2015;067;ERRENTERIA;02;9HP FISKALETIK 11,99HP-RAINOKO TURISMOA;2015/02/23;6.175;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2015;067;ERRENTERIA;02;9HP FISKALETIK 11,99HP-RAINOKO TURISMOA;2015/04/29;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2015;067;ERRENTERIA;02;9HP FISKALETIK 11,99HP-RAINOKO TURISMOA;2015/05/05;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2015;067;ERRENTERIA;02;9HP FISKALETIK 11,99HP-RAINOKO TURISMOA;2015/06/01;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2015;067;ERRENTERIA;02;9HP FISKALETIK 11,99HP-RAINOKO TURISMOA;2016/04/08;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2015;067;ERRENTERIA;03;12HP FISKALETIK 13,99HP-RAINOKO TURISMOA;2015/01/05;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2015;067;ERRENTERIA;03;12HP FISKALETIK 13,99HP-RAINOKO TURISMOA;2015/01/20;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2015;067;ERRENTERIA;03;12HP FISKALETIK 13,99HP-RAINOKO TURISMOA;2015/01/22;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2015;067;ERRENTERIA;03;12HP FISKALETIK 13,99HP-RAINOKO TURISMOA;2015/01/23;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2015;067;ERRENTERIA;03;12HP FISKALETIK 13,99HP-RAINOKO TURISMOA;2015/01/28;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2015;067;ERRENTERIA;03;12HP FISKALETIK 13,99HP-RAINOKO TURISMOA;2015/01/29;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2015;067;ERRENTERIA;03;12HP FISKALETIK 13,99HP-RAINOKO TURISMOA;2015/02/02;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2015;067;ERRENTERIA;03;12HP FISKALETIK 13,99HP-RAINOKO TURISMOA;2015/02/06;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2015;067;ERRENTERIA;03;12HP FISKALETIK 13,99HP-RAINOKO TURISMOA;2015/02/09;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2015;067;ERRENTERIA;03;12HP FISKALETIK 13,99HP-RAINOKO TURISMOA;2015/02/10;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2015;067;ERRENTERIA;03;12HP FISKALETIK 13,99HP-RAINOKO TURISMOA;2015/02/11;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2015;067;ERRENTERIA;03;12HP FISKALETIK 13,99HP-RAINOKO TURISMOA;2015/02/12;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2015;067;ERRENTERIA;03;12HP FISKALETIK 13,99HP-RAINOKO TURISMOA;2015/02/13;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2015;067;ERRENTERIA;03;12HP FISKALETIK 13,99HP-RAINOKO TURISMOA;2015/02/16;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2015;067;ERRENTERIA;03;12HP FISKALETIK 13,99HP-RAINOKO TURISMOA;2015/02/18;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2015;067;ERRENTERIA;03;12HP FISKALETIK 13,99HP-RAINOKO TURISMOA;2015/02/23;7.803;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2015;067;ERRENTERIA;03;12HP FISKALETIK 13,99HP-RAINOKO TURISMOA;2015/03/09;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2015;067;ERRENTERIA;03;12HP FISKALETIK 13,99HP-RAINOKO TURISMOA;2015/03/13;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2015;067;ERRENTERIA;03;12HP FISKALETIK 13,99HP-RAINOKO TURISMOA;2015/04/01;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
