Mun;N.Fijo ;D;Po;Par;Su;Nombre                   ;Tc;Cc;Superfic
067;0267000;L;01;181;A ;                         ;E ;04;00000375
067;0267000;L;02;061;A ;                         ;MF;03;00004188
067;0267000;L;02;163;D ;                         ;MF;01;00004177
067;0267000;L;05;061;A ;                         ;MF;01;00004868
067;0267000;L;05;061;B ;                         ;MM;01;00000724
067;0267000;L;06;028;A ;                         ;MF;04;00004461
067;0267000;L;07;024;A ;                         ;MF;01;00002569
067;0267000;L;07;164;A ;                         ;MF;01;00014723
067;0267000;L;07;182;A ;                         ;MF;04;00001820
067;0315766;L;04;011;A ;                         ;MF;02;00010135
067;0315770;K;05;059;A ;                         ;MB;01;00014529
067;0315771;S;04;169;A ;                         ;MF;01;00003492
067;0315777;U;01;037;A ;TXIRRITA BASERRIA        ;CS;01;00000217
067;0315777;U;01;037;B ;                         ;C ;02;00007947
067;0315777;U;01;037;C ;                         ;MM;01;00009164
067;0315777;U;01;037;D ;                         ;C ;01;00000883
067;0315777;U;01;037;E ;                         ;PD;01;00001407
067;0315789;X;05;021;A ;                         ;C ;02;00012479
067;0315789;X;05;036;A ;                         ;PD;02;00002490
067;0315791;U;03;028;A ;                         ;C ;01;00000080
067;0315791;U;04;163;A ;                         ;C ;01;00002845
067;0315791;U;04;163;B ;                         ;C ;01;00000870
067;0315792;F;04;111;B ;                         ;C ;01;00014386
067;0315792;F;04;111;C ;                         ;F ;01;00003708
067;0315792;F;04;111;E ;                         ;MF;01;00001112
067;0315792;F;04;111;F ;                         ;MF;01;00001396
067;0315792;F;04;111;H ;                         ;C ;02;00000251
067;0315793;N;06;002;A ;                         ;CS;01;00000237
067;0315793;N;06;002;B ;                         ;C ;04;00019959
067;0315793;N;06;002;C ;                         ;F ;02;00001013
067;0315793;N;06;002;D ;                         ;MF;02;00000838
067;0315793;N;06;002;E ;                         ;C ;04;00000165
067;0315798;H;07;068;A ;                         ;MM;01;00006919
067;0315798;H;07;071;A ;                         ;MM;02;00009287
067;0315798;H;08;003;A ;                         ;MM;02;00006377
067;0315798;H;08;035;A ;                         ;MM;03;00001274
067;0315804;U;04;144;A ;                         ;E ;04;00003376
067;0315804;U;04;144;B ;                         ;PD;04;00009670
067;0315804;U;04;144;C ;                         ;MF;01;00001346
067;0315805;F;04;088;A ;                         ;MF;01;00003721
067;0315805;F;04;088;B ;                         ;MM;01;00042497
067;0315813;N;01;082;A ;                         ;MB;01;00002072
067;0315813;N;01;082;B ;                         ;E ;02;00008642
067;0315813;N;01;082;C ;                         ;E ;02;00002064
067;0315813;N;01;082;D ;                         ;E ;02;00003556
067;0315813;N;01;082;E ;                         ;MF;01;00000783
067;0315813;N;01;082;G ;                         ;MF;01;00049600
067;0315813;N;01;082;I ;                         ;I ;01;00017131
067;0315813;N;01;086;A ;                         ;MF;01;00007710
067;0315813;N;02;029;A ;                         ;MF;03;00000358
067;0315813;N;02;029;B ;                         ;PD;03;00001596
067;0315813;N;02;029;C ;                         ;MF;03;00000723
067;0315813;N;02;123;A ;                         ;MB;01;00004970
067;0315813;N;02;123;B ;                         ;E ;03;00004102
067;0315813;N;02;181;A ;                         ;MF;01;00000528
067;0315813;N;02;184;A ;                         ;MF;03;00000096
067;0315813;N;02;184;B ;                         ;C ;03;00000808
067;0315813;N;02;184;C ;                         ;MF;03;00000141
067;0315813;N;03;070;A ;                         ;PD;01;00002589
067;0315813;N;04;010;A ;                         ;MF;02;00001510
067;0315813;N;04;012;A ;                         ;MF;02;00001874
067;0315813;N;04;042;A ;                         ;E ;02;00000453
067;0315813;N;04;042;C ;                         ;MF;01;00007870
067;0315813;N;04;042;D ;                         ;MF;01;00004235
067;0315813;N;04;191;A ;                         ;MF;04;00000643
067;0315813;N;05;013;A ;                         ;MT;01;00013166
067;0315813;N;05;014;A ;                         ;MT;01;00006608
067;0315813;N;05;018;A ;                         ;E ;04;00006459
067;0315813;N;05;026;A ;                         ;MT;04;00003368
067;0315813;N;05;028;A ;                         ;MT;04;00004679
067;0315813;N;05;028;B ;                         ;MF;01;00031898
067;0315813;N;05;045;A ;                         ;MF;02;00009432
067;0315813;N;05;046;A ;                         ;MT;02;00004127
067;0315813;N;05;046;B ;                         ;MF;01;00025394
067;0315813;N;05;046;C ;                         ;MM;02;00021252
067;0315813;N;05;048;A ;                         ;MF;01;00000903
067;0315813;N;05;048;B ;                         ;E ;01;00000310
067;0315813;N;05;050;A ;                         ;E ;01;00021227
067;0315813;N;05;050;B ;                         ;MF;01;00002592
067;0315813;N;05;050;C ;                         ;MF;02;00002070
067;0315813;N;05;058;A ;                         ;E ;02;00005478
067;0315813;N;05;058;B ;                         ;MF;02;00025075
067;0315813;N;05;093;A ;                         ;I ;01;00001755
067;0315813;N;05;098;A ;                         ;MF;02;00001405
067;0315813;N;05;110;A ;                         ;C ;01;00001351
067;0315813;N;06;007;A ;                         ;MF;04;00002935
067;0315813;N;06;011;A ;                         ;MF;02;00001007
067;0315813;N;06;020;A ;                         ;E ;02;00009296
067;0315813;N;06;020;B ;                         ;E ;02;00028113
067;0315813;N;06;020;C ;                         ;MT;02;00002890
067;0315813;N;06;020;D ;                         ;MT;02;00000111
067;0315813;N;06;020;E ;                         ;MB;01;00004022
067;0315813;N;06;020;F ;                         ;C ;02;00002491
067;0315813;N;06;020;G ;                         ;MB;01;00001883
067;0315813;N;06;020;H ;                         ;C ;02;00000828
067;0315813;N;06;020;I ;                         ;MM;02;00043333
067;0315813;N;06;020;J ;                         ;MF;02;00031187
067;0315813;N;06;020;K ;                         ;C ;02;00000424
067;0315813;N;06;020;L ;                         ;MF;02;00223374
067;0315813;N;06;020;M ;                         ;MM;02;00018617
067;0315813;N;06;020;N ;                         ;MM;02;00230406
067;0315813;N;06;020;O ;                         ;MF;02;00011135
067;0315813;N;06;024;A ;                         ;E ;02;00041067
067;0315813;N;06;024;B ;                         ;MB;02;00002173
067;0315813;N;06;024;C ;                         ;E ;02;00001766
067;0315813;N;06;024;D ;                         ;E ;02;00001007
067;0315813;N;06;024;E ;                         ;MF;02;00057453
067;0315813;N;06;024;F ;                         ;MM;02;00004923
067;0315813;N;06;024;G ;                         ;I ;01;00000666
067;0315813;N;07;036;A ;                         ;E ;04;00000783
067;0315813;N;07;036;B ;                         ;MF;01;00000859
067;0315813;N;07;080;B ;                         ;C ;04;00000681
067;0315813;N;07;080;C ;                         ;C ;04;00000253
067;0315813;N;07;080;D ;                         ;F ;02;00006508
067;0315813;N;07;080;E ;                         ;E ;02;00161957
067;0315813;N;07;080;F ;                         ;MT;01;00006813
067;0315813;N;07;080;G ;                         ;MT;01;00003271
067;0315813;N;07;080;H ;                         ;MF;02;00000744
067;0315813;N;07;080;I ;                         ;E ;02;00005903
067;0315813;N;07;080;J ;                         ;E ;02;00004131
067;0315813;N;07;080;K ;                         ;PD;04;00002749
067;0315813;N;07;080;L ;                         ;E ;02;00001653
067;0315813;N;07;080;M ;                         ;E ;02;00001204
067;0315813;N;07;080;N ;                         ;PD;04;00000518
067;0315813;N;07;080;O ;                         ;MF;02;00540526
067;0315813;N;07;080;P ;                         ;MF;02;00574495
067;0315813;N;07;080;Q ;                         ;MM;02;00140927
067;0315813;N;07;080;R ;                         ;MM;02;00137120
067;0315813;N;07;080;S ;                         ;MF;02;00000826
067;0315813;N;07;080;T ;                         ;MF;02;00011533
067;0315813;N;07;080;U ;                         ;MM;02;00036162
067;0315813;N;07;080;V ;                         ;MM;02;00016135
