URTEA;UDAL KODEA;UDALAREN IZENA;TARIFA;TARIFAREN DESKRIBAPENA;ALTA EGUNA;IBILGAILU KOPURUA;.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2016;067;ERRENTERIA;01;9HP FISKALETIK BEHERAKO TURISMOA;2016/02/22;426;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2016;067;ERRENTERIA;02;9HP FISKALETIK 11,99HP-RAINOKO TURISMOA;2016/01/04;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2016;067;ERRENTERIA;02;9HP FISKALETIK 11,99HP-RAINOKO TURISMOA;2016/01/05;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2016;067;ERRENTERIA;02;9HP FISKALETIK 11,99HP-RAINOKO TURISMOA;2016/01/08;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2016;067;ERRENTERIA;02;9HP FISKALETIK 11,99HP-RAINOKO TURISMOA;2016/01/12;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2016;067;ERRENTERIA;02;9HP FISKALETIK 11,99HP-RAINOKO TURISMOA;2016/01/14;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2016;067;ERRENTERIA;02;9HP FISKALETIK 11,99HP-RAINOKO TURISMOA;2016/01/15;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2016;067;ERRENTERIA;02;9HP FISKALETIK 11,99HP-RAINOKO TURISMOA;2016/01/19;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2016;067;ERRENTERIA;02;9HP FISKALETIK 11,99HP-RAINOKO TURISMOA;2016/01/21;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2016;067;ERRENTERIA;02;9HP FISKALETIK 11,99HP-RAINOKO TURISMOA;2016/01/25;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2016;067;ERRENTERIA;02;9HP FISKALETIK 11,99HP-RAINOKO TURISMOA;2016/01/26;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2016;067;ERRENTERIA;02;9HP FISKALETIK 11,99HP-RAINOKO TURISMOA;2016/02/01;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2016;067;ERRENTERIA;02;9HP FISKALETIK 11,99HP-RAINOKO TURISMOA;2016/02/02;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2016;067;ERRENTERIA;02;9HP FISKALETIK 11,99HP-RAINOKO TURISMOA;2016/02/22;6.325;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2016;067;ERRENTERIA;02;9HP FISKALETIK 11,99HP-RAINOKO TURISMOA;2016/04/05;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2016;067;ERRENTERIA;02;9HP FISKALETIK 11,99HP-RAINOKO TURISMOA;2016/04/08;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2016;067;ERRENTERIA;02;9HP FISKALETIK 11,99HP-RAINOKO TURISMOA;2016/05/23;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2016;067;ERRENTERIA;02;9HP FISKALETIK 11,99HP-RAINOKO TURISMOA;2016/05/31;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2016;067;ERRENTERIA;03;12HP FISKALETIK 13,99HP-RAINOKO TURISMOA;2016/01/04;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2016;067;ERRENTERIA;03;12HP FISKALETIK 13,99HP-RAINOKO TURISMOA;2016/01/08;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2016;067;ERRENTERIA;03;12HP FISKALETIK 13,99HP-RAINOKO TURISMOA;2016/01/19;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2016;067;ERRENTERIA;03;12HP FISKALETIK 13,99HP-RAINOKO TURISMOA;2016/01/20;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2016;067;ERRENTERIA;03;12HP FISKALETIK 13,99HP-RAINOKO TURISMOA;2016/01/22;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2016;067;ERRENTERIA;03;12HP FISKALETIK 13,99HP-RAINOKO TURISMOA;2016/01/26;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2016;067;ERRENTERIA;03;12HP FISKALETIK 13,99HP-RAINOKO TURISMOA;2016/01/27;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2016;067;ERRENTERIA;03;12HP FISKALETIK 13,99HP-RAINOKO TURISMOA;2016/01/28;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2016;067;ERRENTERIA;03;12HP FISKALETIK 13,99HP-RAINOKO TURISMOA;2016/02/01;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2016;067;ERRENTERIA;03;12HP FISKALETIK 13,99HP-RAINOKO TURISMOA;2016/02/03;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2016;067;ERRENTERIA;03;12HP FISKALETIK 13,99HP-RAINOKO TURISMOA;2016/02/08;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2016;067;ERRENTERIA;03;12HP FISKALETIK 13,99HP-RAINOKO TURISMOA;2016/02/09;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2016;067;ERRENTERIA;03;12HP FISKALETIK 13,99HP-RAINOKO TURISMOA;2016/02/15;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2016;067;ERRENTERIA;03;12HP FISKALETIK 13,99HP-RAINOKO TURISMOA;2016/02/22;7.675;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
