URTEA;UDAL KODEA;UDALAREN IZENA;KALE KODEA;KALEAREN IZENA;ESPEDIENTE MOTA;DESKRIBAPENA;ITXITAKO ESPEDIENTE KOPURUA;ITXI GABEKO ESPEDIENTE KOPURUA;.                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2015;067;ERRENTERIA;;;AKOV;Herri jabaria hartzea kirol probak egiteko;0;6;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2015;067;ERRENTERIA;;;ARDT;Trafiko Isunen Errekurtso eta Alegazioak;0;11;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2015;067;ERRENTERIA;;;BAED;Auzoetako emakume elkarteei dirulaguntza ematea;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2015;067;ERRENTERIA;;;BIER;Birjapen Errekurtsoa;25;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2015;067;ERRENTERIA;;;BIFN;Familia ugaria dela eta OHZ hobaria;40;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2015;067;ERRENTERIA;;;BVAN;Ibilgailu historikoa dela eta TMIZ zergan hobaria;54;4;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2015;067;ERRENTERIA;;;DBIE;Bilketa Prozedurei Buruzko Errekurtsoa;65;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2015;067;ERRENTERIA;;;EIVM;T.M ibilgailuen gaineko zergan minusba. salbuespen;34;9;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2015;067;ERRENTERIA;;;EUEB;Udal Euskaltegiko baja eskaera;1;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2015;067;ERRENTERIA;;;EXEN;Salbuetsitako Jarduera;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2015;067;ERRENTERIA;;;EXTR;Gorpuaren Lekualdatzea;2;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2015;067;ERRENTERIA;;;EX10;Hobitik ateratzea 10 urteren buruan;0;5;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2015;067;ERRENTERIA;;;KART;Kontratu artistikoak;1;6;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2015;067;ERRENTERIA;;;LAAE;Administrazioarekiko Auzi-Errekurtsoa;2;3;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2015;067;ERRENTERIA;;;LPAR;Partzelazio Lizentzia;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2015;067;ERRENTERIA;;;OBOE;LEHENTASUNEZ EROSTEKO ETA ATZERA ESKURATZEA;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2015;067;ERRENTERIA;;;OERA;Ondare Erantzunkizuna;20;43;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
