URTEA;UDAL KODEA;UDALAREN IZENA;KALE KODEA;KALEAREN IZENA;KALIFIKAZIOA;ISUNEN KOPURUA;ORDAINDUTAKO ZENBATEKOA;EXEKUTIBOAN KOBRATZEKE ZENBATEKOA;.                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2016;067;ERRENTERIA;1402;ALEXANDER FLEMING KALEA;ARINA;1;25,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2016;067;ERRENTERIA;1403;FANDERIA PASEALEKUA/PASEO FAND;LARRIA;4;400,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2016;067;ERRENTERIA;1403;FANDERIA PASEALEKUA/PASEO FAND;ARINA;6;160,00;201,90;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2016;067;ERRENTERIA;1404;BARRIO LARTZABAL/LARTZABAL AUZ;LARRIA;15;1.040,00;489,90;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2016;067;ERRENTERIA;1404;BARRIO LARTZABAL/LARTZABAL AUZ;ARINA;4;105,00;64,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2016;067;ERRENTERIA;1404;BARRIO LARTZABAL/LARTZABAL AUZ;OSO LARRIA;1;250,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2016;067;ERRENTERIA;1406;SALK ETA SABIN KALEA;LARRIA;2;200,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2016;067;ERRENTERIA;1406;SALK ETA SABIN KALEA;ARINA;4;13,83;178,52;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2016;067;ERRENTERIA;1407;TOMAS LOPEZ KALEA;LARRIA;7;834,95;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2016;067;ERRENTERIA;1407;TOMAS LOPEZ KALEA;ARINA;55;977,20;968,30;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2016;067;ERRENTERIA;1408;GABIERROTA PASEALEKUA/PASEO GA;LARRIA;4;300,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2016;067;ERRENTERIA;1408;GABIERROTA PASEALEKUA/PASEO GA;ARINA;6;145,00;201,90;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2016;067;ERRENTERIA;1501;BEHEKO KALEA / CALLE ABAJO;ARINA;2;0,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2016;067;ERRENTERIA;1507;SANTA KLARA PLAZA;LARRIA;5;300,00;234,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2016;067;ERRENTERIA;1507;SANTA KLARA PLAZA;OSO LARRIA;1;0,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2016;067;ERRENTERIA;1601;AñARBE KALEA;LARRIA;3;200,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2016;067;ERRENTERIA;1601;AñARBE KALEA;ARINA;3;121,95;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2016;067;ERRENTERIA;1602;BIDASOA KALEA;ARINA;34;497,25;452,15;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2016;067;ERRENTERIA;1603;LOPE ISASTI KALEA;LARRIA;3;400,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2016;067;ERRENTERIA;1603;LOPE ISASTI KALEA;ARINA;49;945,49;611,07;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2016;067;ERRENTERIA;1605;MARTIN ETXEBERRIA KALEA;LARRIA;4;444,95;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2016;067;ERRENTERIA;1605;MARTIN ETXEBERRIA KALEA;ARINA;119;2.248,35;1.927,80;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2016;067;ERRENTERIA;1605;MARTIN ETXEBERRIA KALEA;OSO LARRIA;1;0,00;604,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2016;067;ERRENTERIA;1606;MORRONGILLETA KALEA;LARRIA;10;700,55;144,40;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2016;067;ERRENTERIA;1606;MORRONGILLETA KALEA;ARINA;97;2.559,21;1.445,28;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2016;067;ERRENTERIA;1607;ORIA KALEA;LARRIA;1;100,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2016;067;ERRENTERIA;1607;ORIA KALEA;ARINA;40;755,27;698,78;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2016;067;ERRENTERIA;1608;UROLA KALEA;LARRIA;2;100,00;234,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2016;067;ERRENTERIA;1608;UROLA KALEA;ARINA;36;583,45;513,40;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2016;067;ERRENTERIA;1610;XENPELAR KALEA;LARRIA;9;700,00;714,85;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
