sep=,
URTEA,UDAL KODEA,UDALAREN IZENA,KALE KODEA,KALEAREN IZENA,KALIFIKAZIOA,ISUNEN KOPURUA,ORDAINDUTAKO ZENBATEKOA,EXEKUTIBOAN KOBRATZEKE ZENBATEKOA,.                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2015,067,ERRENTERIA,1301,FORU PLAZA,ARINA,54,1.516,02,710,12,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2015,067,ERRENTERIA,1302,BARRIO GAZTAÑO/GAZTAÑO AUZOA,LARRIA,4,444,95,0,00,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2015,067,ERRENTERIA,1302,BARRIO GAZTAÑO/GAZTAÑO AUZOA,ARINA,53,1.722,76,453,81,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2015,067,ERRENTERIA,1304,MARIA LEZO KALEA,LARRIA,8,746,47,199,15,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2015,067,ERRENTERIA,1304,MARIA LEZO KALEA,ARINA,102,3.492,09,1.369,09,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2015,067,ERRENTERIA,1304,MARIA LEZO KALEA,OSO LARRIA,2,0,00,604,81,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2015,067,ERRENTERIA,1402,ALEXANDER FLEMING KALEA,LARRIA,1,244,95,0,00,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2015,067,ERRENTERIA,1403,FANDERIA PASEALEKUA/PASEO FAND,LARRIA,5,400,00,244,81,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2015,067,ERRENTERIA,1403,FANDERIA PASEALEKUA/PASEO FAND,ARINA,9,289,90,186,72,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2015,067,ERRENTERIA,1403,FANDERIA PASEALEKUA/PASEO FAND,OSO LARRIA,1,250,00,0,00,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2015,067,ERRENTERIA,1404,BARRIO LARTZABAL/LARTZABAL AUZ,LARRIA,3,314,81,244,81,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2015,067,ERRENTERIA,1404,BARRIO LARTZABAL/LARTZABAL AUZ,ARINA,10,471,57,165,76,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2015,067,ERRENTERIA,1406,SALK ETA SABIN KALEA,LARRIA,3,344,82,244,81,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2015,067,ERRENTERIA,1406,SALK ETA SABIN KALEA,ARINA,1,100,81,0,00,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2015,067,ERRENTERIA,1407,TOMAS LOPEZ KALEA,LARRIA,5,300,00,244,81,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2015,067,ERRENTERIA,1407,TOMAS LOPEZ KALEA,ARINA,58,1.545,50,587,55,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2015,067,ERRENTERIA,1408,GABIERROTA PASEALEKUA/PASEO GA,LARRIA,9,944,81,244,81,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2015,067,ERRENTERIA,1408,GABIERROTA PASEALEKUA/PASEO GA,ARINA,4,125,00,0,00,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
