URTEA;UDAL KODEA;UDALAREN IZENA;KALE KODEA;KALEAREN IZENA;BARRUTIA;SEKZIOA;ALDAKUNTZA MOTA;ALDAKUNTZAREN IZENA;EMAKUME KOPURUA;GIZON KOPURUA;.                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2016;067;ERRENTERIA;2307;OIARTZUN KALEA;001;013;EM;BAJA HABITANTE POR EMIGRACION;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2016;067;ERRENTERIA;2307;OIARTZUN KALEA;001;013;ER;MODIFICACION DATOS DE HABITANT;2;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2016;067;ERRENTERIA;2307;OIARTZUN KALEA;001;013;IN;ALTA HABITANTE POR INMIGRACION;4;4;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2016;067;ERRENTERIA;2307;OIARTZUN KALEA;001;013;OB;BAJA DE HABITANTE POR OTRAS CA;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2016;067;ERRENTERIA;2307;OIARTZUN KALEA;001;013;OC;CAMBIO DE DOMICILIO DE HABITAN;0;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2016;067;ERRENTERIA;2307;OIARTZUN KALEA;001;013;OM;ALTA DE HABITANTE POR OMISION;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2016;067;ERRENTERIA;2307;OIARTZUN KALEA;001;013;RN;MODIFICACION POR RENOVACION;2;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2016;067;ERRENTERIA;2307;OIARTZUN KALEA;001;014;DE;BAJA HABITANTE POR DEFUNCION;2;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2016;067;ERRENTERIA;2307;OIARTZUN KALEA;001;014;EM;BAJA HABITANTE POR EMIGRACION;6;4;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2016;067;ERRENTERIA;2307;OIARTZUN KALEA;001;014;ER;MODIFICACION DATOS DE HABITANT;4;5;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2016;067;ERRENTERIA;2307;OIARTZUN KALEA;001;014;IN;ALTA HABITANTE POR INMIGRACION;10;10;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2016;067;ERRENTERIA;2307;OIARTZUN KALEA;001;014;NA;ALTA HABITANTE POR NACIMIENTO;0;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2016;067;ERRENTERIA;2307;OIARTZUN KALEA;001;014;OB;BAJA DE HABITANTE POR OTRAS CA;0;4;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2016;067;ERRENTERIA;2307;OIARTZUN KALEA;001;014;OC;CAMBIO DE DOMICILIO DE HABITAN;7;4;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2016;067;ERRENTERIA;2307;OIARTZUN KALEA;001;014;RN;MODIFICACION POR RENOVACION;4;3;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2016;067;ERRENTERIA;2307;OIARTZUN KALEA;001;023;DE;BAJA HABITANTE POR DEFUNCION;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2016;067;ERRENTERIA;2307;OIARTZUN KALEA;001;023;EM;BAJA HABITANTE POR EMIGRACION;3;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2016;067;ERRENTERIA;2307;OIARTZUN KALEA;001;023;ER;MODIFICACION DATOS DE HABITANT;4;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2016;067;ERRENTERIA;2307;OIARTZUN KALEA;001;023;IN;ALTA HABITANTE POR INMIGRACION;4;5;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2016;067;ERRENTERIA;2307;OIARTZUN KALEA;001;023;NA;ALTA HABITANTE POR NACIMIENTO;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2016;067;ERRENTERIA;2307;OIARTZUN KALEA;001;023;OB;BAJA DE HABITANTE POR OTRAS CA;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2016;067;ERRENTERIA;2307;OIARTZUN KALEA;001;023;OC;CAMBIO DE DOMICILIO DE HABITAN;3;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2016;067;ERRENTERIA;2307;OIARTZUN KALEA;001;023;RN;MODIFICACION POR RENOVACION;2;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2016;067;ERRENTERIA;2401;AMASA KALEA;001;014;DE;BAJA HABITANTE POR DEFUNCION;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2016;067;ERRENTERIA;2401;AMASA KALEA;001;014;EM;BAJA HABITANTE POR EMIGRACION;7;3;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2016;067;ERRENTERIA;2401;AMASA KALEA;001;014;ER;MODIFICACION DATOS DE HABITANT;2;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2016;067;ERRENTERIA;2401;AMASA KALEA;001;014;IN;ALTA HABITANTE POR INMIGRACION;9;5;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2016;067;ERRENTERIA;2401;AMASA KALEA;001;014;NA;ALTA HABITANTE POR NACIMIENTO;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2016;067;ERRENTERIA;2401;AMASA KALEA;001;014;OB;BAJA DE HABITANTE POR OTRAS CA;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2016;067;ERRENTERIA;2401;AMASA KALEA;001;014;OC;CAMBIO DE DOMICILIO DE HABITAN;5;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2016;067;ERRENTERIA;2406;ASTIGARRAGA KALEA;001;014;DE;BAJA HABITANTE POR DEFUNCION;2;3;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2016;067;ERRENTERIA;2406;ASTIGARRAGA KALEA;001;014;EM;BAJA HABITANTE POR EMIGRACION;4;8;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2016;067;ERRENTERIA;2406;ASTIGARRAGA KALEA;001;014;ER;MODIFICACION DATOS DE HABITANT;8;6;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2016;067;ERRENTERIA;2406;ASTIGARRAGA KALEA;001;014;IN;ALTA HABITANTE POR INMIGRACION;7;11;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2016;067;ERRENTERIA;2406;ASTIGARRAGA KALEA;001;014;NA;ALTA HABITANTE POR NACIMIENTO;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2016;067;ERRENTERIA;2406;ASTIGARRAGA KALEA;001;014;OB;BAJA DE HABITANTE POR OTRAS CA;0;4;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2016;067;ERRENTERIA;2406;ASTIGARRAGA KALEA;001;014;OC;CAMBIO DE DOMICILIO DE HABITAN;8;6;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2016;067;ERRENTERIA;2406;ASTIGARRAGA KALEA;001;014;OM;ALTA DE HABITANTE POR OMISION;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2016;067;ERRENTERIA;2406;ASTIGARRAGA KALEA;001;014;RN;MODIFICACION POR RENOVACION;3;3;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2016;067;ERRENTERIA;2502;JAIZKIBEL KALEA;001;015;DE;BAJA HABITANTE POR DEFUNCION;2;4;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2016;067;ERRENTERIA;2502;JAIZKIBEL KALEA;001;015;EM;BAJA HABITANTE POR EMIGRACION;9;7;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2016;067;ERRENTERIA;2502;JAIZKIBEL KALEA;001;015;ER;MODIFICACION DATOS DE HABITANT;12;11;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2016;067;ERRENTERIA;2502;JAIZKIBEL KALEA;001;015;IN;ALTA HABITANTE POR INMIGRACION;4;5;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2016;067;ERRENTERIA;2502;JAIZKIBEL KALEA;001;015;NA;ALTA HABITANTE POR NACIMIENTO;4;5;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2016;067;ERRENTERIA;2502;JAIZKIBEL KALEA;001;015;OB;BAJA DE HABITANTE POR OTRAS CA;0;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
