Mun;N.Fijo ;D;Mod;Sección;Epígrafe;Amb;Fec.Alta;Inicio Prof.;Uso;Super1 ;Super2 ;Super3 ;Super4 ;Super5 ;Super6 ;Super7 ;Super8 ;Super9 ;Super10;PotInd ;PotBan ;Obrer;Afecto Sim.;Máq.Apuestas;Toneladas;Nro.Viaj.;Ho;Plz;Máq.A;Máq.B;Descr.Elem1         ;Tipo Elem1;Valor Elem1  ;Descr.Elem2         ;Tipo Elem2;Valor Elem2  ;Descr.Elem3         ;Tipo Elem3;Valor Elem3  ;Descr.Elem4         ;Tipo Elem4;Valor Elem4  ;Título Epígrafe Euskera                                     ;Título Epígrafe castellano
067;0271982;R;840;      3;  044   ;  M;20040501;        0000;   ;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;00000;           ;          00;      0,0;      000;  ;000;    0;    0;                    ;          ;             ;                    ;          ;             ;                    ;          ;             ;                    ;          ;             ;BOXEALARIAK, BOXEO ENTRENATZAILEAK ETA PRESTATZAILEAK       ;BOXEADORES, ENTRENADORES Y PREPARADORES DE BOXEO
067;0272094;J;840;      1;  9669  ;  M;20040407;        0000;   ;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;00000;           ;          00;      0,0;      000;  ;000;    0;    0;                    ;          ;             ;                    ;          ;             ;                    ;          ;             ;                    ;          ;             ;B.I.S.G.KO BESTE KULTUR ZERBITZU BATZUK                     ;OTROS SERVICIOS CULTURALES N.C.O.P.
067;0272615;L;840;      1;  9721  ;  M;20040501;        0000;   ;0000064;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;00000;           ;          00;      0,0;      000;  ;000;    0;    0;                    ;          ;             ;                    ;          ;             ;                    ;          ;             ;                    ;          ;             ;EMAKUME ETA GIZONEZKO ILEAPAINDEGIAK                        ;SERVICIOS DE PELUQUERIA DE SEÑORAS  Y CABALLEROS
067;0272675;R;840;      1;  8612  ;  E;20040101;        0000;   ;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;00000;           ;          00;      0,0;      000;  ;000;    0;    0;                    ;          ;             ;                    ;          ;             ;                    ;          ;             ;                    ;          ;             ;INDUST. LOKALEN ALOKAIRUAK ETA B.I.S.G.KO BES. ZENB. ALOKAIR;ALQUILER DE LOCALES INDUSTRIALES Y OTROS ALQUILERES N.C.O.P
067;0272894;E;840;      1;  631   ;  M;20040501;        0000;   ;0000010;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;00000;           ;          00;      0,0;      000;  ;000;    0;    0;                    ;          ;             ;                    ;          ;             ;                    ;          ;             ;                    ;          ;             ;SALMENTARAKO BITARTEKARIAK                                  ;INTERMEDIARIOS DEL COMERCIO
067;0273125;T;840;      1;  5041  ;  P;20040505;        0000;   ;0000250;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;00000;           ;          00;      0,0;      000;  ;000;    0;    0;                    ;          ;             ;                    ;          ;             ;                    ;          ;             ;                    ;          ;             ;INSTALAZIO ELEKTRIKOAK OROHAR                               ;INSTALACIONES  ELECTRICAS   EN GENERAL
067;0273165;A;840;      1;  6731  ;  M;20040601;        0000;   ;0000070;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;00000;           ;          00;      0,0;      000;  ;000;    1;    0;                    ;          ;             ;                    ;          ;             ;                    ;          ;             ;                    ;          ;             ;KATEGORIA BEREZIKO TABERNA                                  ;BAR CATEGORIA ESPECIAL
067;0273413;D;840;      1;  5056  ;  M;20040601;        0000;   ;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;00000;           ;          00;      0,0;      000;  ;000;    0;    0;                    ;          ;             ;                    ;          ;             ;                    ;          ;             ;                    ;          ;             ;PINTAKETA, ESTALDURAK, ETA LOKALEN AKABERA ETA APAINKETA    ;PINTURA, REVESTIMENTOS Y TERMINACION Y DECORACION LOCALES
067;0273414;L;840;      1;  5056  ;  M;20040601;        0000;   ;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;00000;           ;          00;      0,0;      000;  ;000;    0;    0;                    ;          ;             ;                    ;          ;             ;                    ;          ;             ;                    ;          ;             ;PINTAKETA, ESTALDURAK, ETA LOKALEN AKABERA ETA APAINKETA    ;PINTURA, REVESTIMENTOS Y TERMINACION Y DECORACION LOCALES
067;0273524;U;840;      1;  6441  ;  M;20040614;        0000;   ;0000050;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;0000000;00000;           ;          00;      0,0;      000;  ;000;    0;    0;                    ;          ;             ;                    ;          ;             ;                    ;          ;             ;                    ;          ;             ;OGIA,PASTELG.,GOZOG. ETA ANTZEK. ETA ESNEAREN TXI. SALM.    ;VENTA MENOR DE PAN, PASTELERIA CONFITERIA Y SIMILARES Y LECH
